topic_0,topic_1,topic_2,topic_3,topic_4,nlikes,nreplies,nretweets,tweets,following,followers,likes,media,day,reply_to,url,join_time,day_after,tweet_length,tweet_sentiment,bio_sentiment,first_person,second_person,third_person,label
0.040077406473881354,0.042465944800226606,0.6756636308702645,0.04015198888969351,0.20164102896593405,0.0,0.0,0.0,0.5566343558166027,0.4258040473884821,0.23978064680672295,0.6268101802561112,0.32530054167891775,0.3333333333333333,0.0,1.0,0.0392156862745098,0.2857142857142856,0.140625,0.5,0.5,0.0,0.0,0.0,0
0.6267835157193313,0.03370391611557383,0.03387474545705867,0.033662799268323426,0.27197502343971275,0.0,0.0,0.0,0.6795119737841259,0.5701057725221743,0.43779988776733475,0.7829633492859378,0.41510228791871,0.3333333333333333,0.0,1.0,0.19607843137254902,0.2857142857142856,0.25,0.5,0.5,1.0,0.0,0.0,0
0.022260141207537967,0.02230568657607686,0.022631699100801487,0.023082202416736464,0.9097202706988473,0.0,0.0,0.0,0.3048686516602718,0.2473422232103585,0.03912050498301796,0.41704988763550593,0.15513328643620147,0.3333333333333333,0.0,0.0,0.0392156862745098,0.2857142857142856,0.625,0.5,0.5,0.0,0.0,1.0,0
0.06805048010263991,0.06666678178773527,0.3983931412092246,0.06675230653282849,0.4001372903675717,0.0607265155125626,0.1015048186668246,0.0,0.5533329983887169,0.5126342983309209,0.36206139128356724,0.6937799032041915,0.4566339778594496,0.3333333333333333,0.0,0.0,0.0196078431372549,0.2857142857142856,0.203125,0.0,0.5,1.0,0.0,0.0,1
0.39925481464758933,0.4007451033328994,0.06666670403517783,0.06666668931333827,0.06666668867099523,0.17048088222360006,0.2030096373336492,0.16253440755979046,0.7245721546431546,0.6981219034793621,0.4666351817288177,0.4770962733579083,0.25939803594450056,0.3333333333333333,0.0,1.0,0.21568627450980393,0.2857142857142856,0.640625,0.5,0.5,0.0,0.0,0.0,0
0.1000004264749855,0.10000001985221947,0.10000002386292983,0.10000011018075179,0.5999994196291135,0.0607265155125626,0.0,0.0,0.6569667983498219,0.4680786309857857,0.34604003761520524,0.7932663966745642,0.5229361605846872,0.3333333333333333,0.0,0.0,0.0196078431372549,0.2857142857142856,0.078125,0.5,1.0,0.0,0.0,0.0,0
0.40339539641955385,0.519126354473907,0.026271173642347143,0.02528586654180054,0.025921208922391373,0.09624924988687332,0.1015048186668246,0.0,0.6275599102684463,0.5830820037684313,0.412486543909422,0.7429653337906695,0.5063352948714244,0.3333333333333333,0.0,1.0,0.23529411764705882,0.2857142857142856,0.671875,0.0,0.5,0.0,1.0,0.0,0
0.20567947073523182,0.5028621353069904,0.018219728135063094,0.018937167903538756,0.254301497919176,0.3912575081472221,0.3511489791400584,0.20999927764904586,0.6147517417802305,0.6342795187104447,0.43593477855056745,0.7231278418120107,0.49435918986559585,0.3333333333333333,0.0,1.0,0.0392156862745098,0.2857142857142856,0.71875,0.0,0.5,1.0,0.0,0.0,0
0.6838009597540209,0.01833401431149693,0.26048388094978236,0.0188974532036776,0.018483691781022084,0.0607265155125626,0.0,0.0,0.5210663121732578,0.4881542945062537,0.2964328422256365,0.6234819068716319,0.45405290018721056,0.3333333333333333,0.0,0.0,0.09803921568627451,0.2857142857142856,0.734375,0.0,1.0,1.0,0.0,1.0,0
0.01723229528141058,0.016875081060336184,0.2758123210251594,0.6731113668318768,0.016968935801217083,0.0,0.1015048186668246,0.0,0.6527052938091245,0.29866052583789027,0.3069195326321873,0.6474878481277069,0.42681496930418356,0.3333333333333333,0.02,0.0,0.23529411764705882,0.2857142857142856,0.75,0.0,0.5,0.0,0.0,1.0,0
