"2","bio"
"2","""Creator, Founder, Owner of Nights Of Kink Inc. -Mistress RoxXxanne"""
"2","""Agree or disagree, either way, I’ll always tweet unbiased truth. I’m not always tweeting what you want to hear, but I’m always tweeting what you need to hear. ✊"""
"0","A political middle of the roader trying very hard not to steer too far to the left or right."
"2","huge ass simp ☉ cancer ☽ virgo ↑ scorpio"
"2","LEGO Ninjago Content Creator"
"2","BANGTEEZ WORLD DOMINATION | armyphobic || main: @vantaekfilm"
"2","""GEOLOGIST, Resourceful, I think I'm pretty smart. my blood is blue #ChelseaFC"""
"2","""Cover Not Truth With FalseHood,Nor Conceal Truth When You Know.2-40. Damn and Ban Usury, Its UnJust. See Debt-Meter-  https://t.co/FdaR4WzVwD   👈"""
"2","24 they/them"
"2","Trans woman. Tweets in personal capacity. 🇿🇦🏳️‍🌈🇮🇹🏳️‍⚧️"
"2","Lifetime Gamer. Dad. Emergency Services Worker.  Proud member of the Hot Chocolate Corps FC - FFXIV Phoenix Server (EU)."
"4","""Ace 13, in @VisibleUnit ,  warzone/streamer vibe with me and chill  grinding for @Optifygaming   yt: AceXR1 insta: acexr1_ twitch: acexr1"""
"2","Fine Gentleman"
"2","1450"
"2","HE Xe They . . . 13 . . . CBYF!"
"0","20 • 🇧🇩 x 🏴󠁧󠁢󠁥󠁮󠁧󠁿 • Opinionated Advocate • she/her • #BlackLivesMatter | no justice no peace |"
"0","20 • 🇧🇩 x 🏴󠁧󠁢󠁥󠁮󠁧󠁿 • Opinionated Advocate • she/her • #BlackLivesMatter | no justice no peace |"
"2","Infinité ∞ | Gemini ♊ | @manutd ⚽"
"2","Concerned Observer"
"2","""17 he/him, Twitch Affiliate, Small Youtuber, Co-host of the BG Podcast, Part time femboy, Full time cringe-fest, Lil Jdog on spotify"""
"2","🦄 IG@marinellacons"
"2","""→ ✝ • 22 | 🇲🇽🇺🇸 | ARMY • OT7 • JK  | depressed, stressed, BTS | (2 Chronicles 20:15) |"""
"0","i constantly reject canon; queen of missing proper extrapolation"
"2","Promoting awareness of the dangers of antidepressants"
"2",""""""
"2","""God first, family second. Psychologist. Overall nice guy. Chocolate addict.Avid cricket fan. Social good enthusiast.Truth seeker. Foodie. Work in progress."""
"2","""Wisest Man on Twitter, NBA Analyst for ESPN ‼️Proud Yeagerist‼️"""
"2",""""""
"2","Striving muslim learning my religion everyday intellectually"
"2","trek. 28. copy editor. they/them. allegedly cuban. frank wildhorn stan. rootless mentally ill global citizen of indeterminate racial background. #1 NASTY GOBLIN"
"2","""she/her / 20+ / #bwaytwt mostly, check my link for short intro to my account!"""
"4","17 / 5'6  I spend too much time on twitch and playing video games / Twitter is cheaper than a therapist @jerbventing"
"2","""Big reader. Shakespeare nerd. Sometimes I write stuff. Currently a fan of KH, FF, TWEWY, Persona 2/3/4/5, NieR:Automata, Hades, and ATLA."""
"2","""Events planner and A botanist.  They planned, Allah plan but Allah is the Best Planner."""
"2","𖤐 死んだ兵士 𖤐"
"2","""She/Her.  Muddling my way through life, full of rage and cheesecake.  Sometimes I make crafty things."""
"2","Ill be yoonbum and you can be sangwoo"
"2","BLACK LIVES MATTER she/her 🌈 bi 🏳️‍🌈"
"2","ᴅᴏɴ’ᴛ ᴅɪsʀᴜᴘᴛ ᴍʏ ᴘᴇᴀᴄᴇ ❀ | 🧘🏽‍♀️ | ʟɪʙʀᴀ♥ | ʜɪᴛ ᴛʜᴇ ʟɪɴᴋ♡"
"2","LONG LIVE JAYLEN!😇🤍 she/her. htx. 24. ig:clo0ud9_.🏳️‍🌈lesbian 🇯🇲 fuck da police."
"2","A proud Warrior4SSR. Find me on Koo https://t.co/9y4dpb9GSH RTs are not endorsements"
"2","win they/them 19 years old. omg omg omg im going cazy"
"2","World's okayest sitdown comedian"
"2","keep an eye on the sky."
"2","""your local twink / kpop + activism // 23 / pronouns: it/its / ♿🏳️‍🌈, #ActuallyAutistic // not my profile pic, white"""
"4","comedian & fun person also on instagram @alyssa_sabo"
"2","""i'm one of lee siyeon's 30,000 wives || vamp/fang/kitty/paw/bat/moon || 18 || fan account"""
"2","""Retire Phlebotomy - USNbrat.- #Education- #EqualRights- #VETS&K-9,-COFFEE,Science, -Environment, #Resistance #UnionStrong .#UnitedBlue- 🌲-🌊- #ClimateEmergency"""
"2","I put the hell in michelle. she/they."
"2","imagine being dead at a young age #blacklivesmatter ❌2020 out on all platforms"
"2","""Polymath. Texas Guardsman (ret. '19) / Emergency mgr,  Linguist, Houstonian,  Serial Web Biz Dev, Connector, Empowerer, Producer, Moderate Independent, R+C"""
"2","""(she/her) ~ If I die, turn my tweets into a book.~"""
"2",""""""
"2",""""""
"2","el | she/they | 17"
"2","💎✨Therapeutic indications: Anti-depressants; Stress-relievers; Mood boosters✨Prescribed daily intake as needed or as per heart's content✨I D G A F -👩🏻‍⚕️"
"2","i drink and draw"
"2",""""""
"2",""""""
"2","Future engineer at a good midwestern high school"
"2","no"
"0","I feel like I’m stuck between a rope and a high place"
"2",""""""
"2","your favorite loser | he/him | 18 | Pfp by: @k8ryoshka | NSFW: @Jolty_AD | Vent: @Jolty_Liminal"
"2","""6:20 PM. Tiffany is in the diary room, talking about Gemma. #blacklivesmatter"""
